Q290,mapped_category,ethnicity_string,country
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20005,5.0,Arabic/Central Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20002,2.0,Negro black,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20002,2.0,Negro black,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20003,3.0,South Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20004,4.0,East Asian,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20002,2.0,Negro black,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20004,4.0,East Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
-2,,,
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20003,3.0,South Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
-2,,,
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20005,5.0,Arabic/Central Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20003,3.0,South Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20005,5.0,Arabic/Central Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20003,3.0,South Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20005,5.0,Arabic/Central Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20005,5.0,Arabic/Central Asian,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20002,2.0,Negro black,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20999,8.0,Other,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
20001,1.0,Caucasian white,AND
